2024-09-06 08:57:12 [INFO]: Server is running on port 5000
2024-09-06 08:57:12 [INFO]: MongoDB conectado com sucesso!
2024-09-06 08:57:20 [INFO]: Server is running on port 5000
2024-09-06 08:57:20 [INFO]: MongoDB conectado com sucesso!
2024-09-06 08:57:34 [INFO]: IP: ::ffff:10.92.199.14 - GET /api/user/company/vacancy/list-vacancies
2024-09-06 08:57:34 [INFO]: IP: ::ffff:10.92.199.14 - GET /api/user/company/list-companies
2024-09-06 08:57:34 [INFO]: IP: ::ffff:10.92.199.14 - GET /api/user/company/vacancy/list-vacancies
2024-09-06 08:57:34 [INFO]: IP: ::ffff:10.92.199.14 - GET /api/user/company/list-companies
2024-09-06 08:57:34 [INFO]: IP: ::ffff:10.92.199.14 - GET /api/user/company/vacancy/list-vacancies
2024-09-06 08:57:34 [INFO]: IP: ::ffff:10.92.199.14 - GET /api/user/company/list-companies
2024-09-06 08:57:34 [INFO]: IP: ::ffff:10.92.199.14 - GET /api/user/company/vacancy/list-vacancies
2024-09-06 08:57:34 [INFO]: IP: ::ffff:10.92.199.14 - GET /api/user/company/list-companies
2024-09-06 09:02:34 [INFO]: IP: ::ffff:10.92.199.14 - GET /api/user/company/vacancy/list-vacancies
2024-09-06 09:02:34 [INFO]: IP: ::ffff:10.92.199.14 - GET /api/user/company/list-companies
2024-09-06 09:02:34 [INFO]: IP: ::ffff:10.92.199.14 - GET /api/user/company/list-companies
2024-09-06 09:02:34 [INFO]: IP: ::ffff:10.92.199.14 - GET /api/user/company/vacancy/list-vacancies
2024-09-06 09:02:34 [INFO]: IP: ::ffff:10.92.199.14 - GET /api/user/company/list-companies
2024-09-06 09:02:34 [INFO]: IP: ::ffff:10.92.199.14 - GET /api/user/company/vacancy/list-vacancies
2024-09-06 09:02:34 [INFO]: IP: ::ffff:10.92.199.14 - GET /api/user/company/list-companies
2024-09-06 09:02:34 [INFO]: IP: ::ffff:10.92.199.14 - GET /api/user/company/vacancy/list-vacancies
2024-09-06 09:03:07 [INFO]: IP: ::ffff:10.92.199.14 - GET /api/user/company/vacancy/list-vacancies
2024-09-06 09:03:07 [INFO]: IP: ::ffff:10.92.199.14 - GET /api/user/company/list-companies
2024-09-06 09:03:07 [INFO]: IP: ::ffff:10.92.199.14 - GET /api/user/company/list-companies
